candidate,county,district,election_date,office,party,scope,state,votes
Anna E. Throne-Holst,Suffolk,1,2016-11-08,U.S. House,DEM,general,NY,126635
Lee M. Zeldin,Suffolk,1,2016-11-08,U.S. House,REP,general,NY,158409
Lee M. Zeldin,Suffolk,1,2016-11-08,U.S. House,CON,general,NY,23327
Anna E. Throne-Holst,Suffolk,1,2016-11-08,U.S. House,WOR,general,NY,6147
Lee M. Zeldin,Suffolk,1,2016-11-08,U.S. House,IND,general,NY,5920
Anna E. Throne-Holst,Suffolk,1,2016-11-08,U.S. House,WEP,general,NY,2496
Lee M. Zeldin,Suffolk,1,2016-11-08,U.S. House,REF,general,NY,843
Blank,Suffolk,1,2016-11-08,U.S. House,,general,NY,17542
Void,Suffolk,1,2016-11-08,U.S. House,,general,NY,122
Scattering,Suffolk,1,2016-11-08,U.S. House,,general,NY,113
Total,Suffolk,1,2016-11-08,U.S. House,,general,NY,341554
Du Wayne Gregory,Nassau,2,2016-11-08,U.S. House,DEM,general,NY,21986
Du Wayne Gregory,Suffolk,2,2016-11-08,U.S. House,DEM,general,NY,80284
Du Wayne Gregory,Total,2,2016-11-08,U.S. House,DEM,general,NY,102270
Peter T. King,Nassau,2,2016-11-08,U.S. House,REP/TRP,general,NY,59409
Peter T. King,Suffolk,2,2016-11-08,U.S. House,REP/TRP,general,NY,98162
Peter T. King,Total,2,2016-11-08,U.S. House,REP/TRP,general,NY,157571
Peter T. King,Nassau,2,2016-11-08,U.S. House,CON,general,NY,6895
Peter T. King,Suffolk,2,2016-11-08,U.S. House,CON,general,NY,14915
Peter T. King,Total,2,2016-11-08,U.S. House,CON,general,NY,21810
Du Wayne Gregory,Nassau,2,2016-11-08,U.S. House,WOR,general,NY,1107
Du Wayne Gregory,Suffolk,2,2016-11-08,U.S. House,WOR,general,NY,2910
Du Wayne Gregory,Total,2,2016-11-08,U.S. House,WOR,general,NY,4017
Du Wayne Gregory,Nassau,2,2016-11-08,U.S. House,IND,general,NY,627
Du Wayne Gregory,Suffolk,2,2016-11-08,U.S. House,IND,general,NY,2586
Du Wayne Gregory,Total,2,2016-11-08,U.S. House,IND,general,NY,3213
Du Wayne Gregory,Nassau,2,2016-11-08,U.S. House,WEP,general,NY,383
Du Wayne Gregory,Suffolk,2,2016-11-08,U.S. House,WEP,general,NY,1055
Du Wayne Gregory,Total,2,2016-11-08,U.S. House,WEP,general,NY,1438
Peter T. King,Nassau,2,2016-11-08,U.S. House,REF,general,NY,643
Peter T. King,Suffolk,2,2016-11-08,U.S. House,REF,general,NY,1482
Peter T. King,Total,2,2016-11-08,U.S. House,REF,general,NY,2125
Blank,Nassau,2,2016-11-08,U.S. House,,general,NY,6330
Blank,Suffolk,2,2016-11-08,U.S. House,,general,NY,18330
Blank,Total,2,2016-11-08,U.S. House,,general,NY,24660
Void,Nassau,2,2016-11-08,U.S. House,,general,NY,178
Void,Suffolk,2,2016-11-08,U.S. House,,general,NY,119
Void,Total,2,2016-11-08,U.S. House,,general,NY,297
Scattering,Nassau,2,2016-11-08,U.S. House,,general,NY,59
Scattering,Suffolk,2,2016-11-08,U.S. House,,general,NY,92
Scattering,Total,2,2016-11-08,U.S. House,,general,NY,151
Total,Nassau,2,2016-11-08,U.S. House,,general,NY,97617
Total,Suffolk,2,2016-11-08,U.S. House,,general,NY,219935
Total,Total,2,2016-11-08,U.S. House,,general,NY,317552
Thomas R. Suozzi,Nassau,3,2016-11-08,U.S. House,DEM,general,NY,86492
Thomas R. Suozzi,Queens,3,2016-11-08,U.S. House,DEM,general,NY,29117
Thomas R. Suozzi,Suffolk,3,2016-11-08,U.S. House,DEM,general,NY,56166
Thomas R. Suozzi,Total,3,2016-11-08,U.S. House,DEM,general,NY,171775
Jack M. Martins,Nassau,3,2016-11-08,U.S. House,REP,general,NY,70395
Jack M. Martins,Queens,3,2016-11-08,U.S. House,REP,general,NY,13308
Jack M. Martins,Suffolk,3,2016-11-08,U.S. House,REP,general,NY,50251
Jack M. Martins,Total,3,2016-11-08,U.S. House,REP,general,NY,133954
Jack M. Martins,Nassau,3,2016-11-08,U.S. House,CON,general,NY,6956
Jack M. Martins,Queens,3,2016-11-08,U.S. House,CON,general,NY,1622
Jack M. Martins,Suffolk,3,2016-11-08,U.S. House,CON,general,NY,7832
Jack M. Martins,Total,3,2016-11-08,U.S. House,CON,general,NY,16410
Jack M. Martins,Nassau,3,2016-11-08,U.S. House,REF,general,NY,721
Jack M. Martins,Queens,3,2016-11-08,U.S. House,REF,general,NY,445
Jack M. Martins,Suffolk,3,2016-11-08,U.S. House,REF,general,NY,774
Jack M. Martins,Total,3,2016-11-08,U.S. House,REF,general,NY,1940
Blank,Nassau,3,2016-11-08,U.S. House,,general,NY,12374
Blank,Queens,3,2016-11-08,U.S. House,,general,NY,4265
Blank,Suffolk,3,2016-11-08,U.S. House,,general,NY,9844
Blank,Total,3,2016-11-08,U.S. House,,general,NY,26483
Void,Nassau,3,2016-11-08,U.S. House,,general,NY,198
Void,Queens,3,2016-11-08,U.S. House,,general,NY,0
Void,Suffolk,3,2016-11-08,U.S. House,,general,NY,31
Void,Total,3,2016-11-08,U.S. House,,general,NY,229
Scattering,Nassau,3,2016-11-08,U.S. House,,general,NY,79
Scattering,Queens,3,2016-11-08,U.S. House,,general,NY,26
Scattering,Suffolk,3,2016-11-08,U.S. House,,general,NY,70
Scattering,Total,3,2016-11-08,U.S. House,,general,NY,175
Total,Nassau,3,2016-11-08,U.S. House,,general,NY,177215
Total,Queens,3,2016-11-08,U.S. House,,general,NY,48783
Total,Suffolk,3,2016-11-08,U.S. House,,general,NY,124968
Total,Total,3,2016-11-08,U.S. House,,general,NY,350966
Kathleen M. Rice,Nassau,4,2016-11-08,U.S. House,DEM,general,NY,181861
David H. Gurfein,Nassau,4,2016-11-08,U.S. House,REP,general,NY,111246
David H. Gurfein,Nassau,4,2016-11-08,U.S. House,CON,general,NY,14137
Kathleen M. Rice,Nassau,4,2016-11-08,U.S. House,WEP,general,NY,4562
David H. Gurfein,Nassau,4,2016-11-08,U.S. House,REF,general,NY,1055
David H. Gurfein,Nassau,4,2016-11-08,U.S. House,TRP,general,NY,
Blank,Nassau,4,2016-11-08,U.S. House,,general,NY,29823
Void,Nassau,4,2016-11-08,U.S. House,,general,NY,356
Scattering,Nassau,4,2016-11-08,U.S. House,,general,NY,139
Total,Nassau,4,2016-11-08,U.S. House,,general,NY,343179
Gregory W. Meeks,Nassau,5,2016-11-08,U.S. House,DEM,general,NY,23885
Gregory W. Meeks,Queens,5,2016-11-08,U.S. House,DEM,general,NY,173967
Gregory W. Meeks,Total,5,2016-11-08,U.S. House,DEM,general,NY,197852
Michael A. O'Reilly,Nassau,5,2016-11-08,U.S. House,REP,general,NY,6454
Michael A. O'Reilly,Queens,5,2016-11-08,U.S. House,REP,general,NY,20337
Michael A. O'Reilly,Total,5,2016-11-08,U.S. House,REP,general,NY,26791
Michael A. O'Reilly,Nassau,5,2016-11-08,U.S. House,CON,general,NY,673
Michael A. O'Reilly,Queens,5,2016-11-08,U.S. House,CON,general,NY,2848
Michael A. O'Reilly,Total,5,2016-11-08,U.S. House,CON,general,NY,3521
Frank Francois,Nassau,5,2016-11-08,U.S. House,GRN,general,NY,517
Frank Francois,Queens,5,2016-11-08,U.S. House,GRN,general,NY,3070
Frank Francois,Total,5,2016-11-08,U.S. House,GRN,general,NY,3587
Gregory W. Meeks,Nassau,5,2016-11-08,U.S. House,WEP,general,NY,348
Gregory W. Meeks,Queens,5,2016-11-08,U.S. House,WEP,general,NY,1615
Gregory W. Meeks,Total,5,2016-11-08,U.S. House,WEP,general,NY,1963
Blank,Nassau,5,2016-11-08,U.S. House,,general,NY,3615
Blank,Queens,5,2016-11-08,U.S. House,,general,NY,11742
Blank,Total,5,2016-11-08,U.S. House,,general,NY,15357
Void,Nassau,5,2016-11-08,U.S. House,,general,NY,26
Void,Queens,5,2016-11-08,U.S. House,,general,NY,0
Void,Total,5,2016-11-08,U.S. House,,general,NY,26
Scattering,Nassau,5,2016-11-08,U.S. House,,general,NY,17
Scattering,Queens,5,2016-11-08,U.S. House,,general,NY,122
Scattering,Total,5,2016-11-08,U.S. House,,general,NY,139
Total,Nassau,5,2016-11-08,U.S. House,,general,NY,35535
Total,Queens,5,2016-11-08,U.S. House,,general,NY,213701
Total,Total,5,2016-11-08,U.S. House,,general,NY,249236
Grace Meng,Queens,6,2016-11-08,U.S. House,DEM,general,NY,131463
Danniel S. Maio,Queens,6,2016-11-08,U.S. House,REP,general,NY,43770
Danniel S. Maio,Queens,6,2016-11-08,U.S. House,CON,general,NY,4875
Grace Meng,Queens,6,2016-11-08,U.S. House,WEP,general,NY,5043
Danniel S. Maio,Queens,6,2016-11-08,U.S. House,BLM,general,NY,1972
Haris Bhatti,Queens,6,2016-11-08,U.S. House,HBP,general,NY,2123
Blank,Queens,6,2016-11-08,U.S. House,,general,NY,20945
Void,Queens,6,2016-11-08,U.S. House,,general,NY,0
Scattering,Queens,6,2016-11-08,U.S. House,,general,NY,187
Total,Queens,6,2016-11-08,U.S. House,,general,NY,210378
Nydia M. Velazquez,Kings,7,2016-11-08,U.S. House,DEM,general,NY,122987
Nydia M. Velazquez,New York,7,2016-11-08,U.S. House,DEM,general,NY,20864
Nydia M. Velazquez,Queens,7,2016-11-08,U.S. House,DEM,general,NY,21968
Nydia M. Velazquez,Total,7,2016-11-08,U.S. House,DEM,general,NY,165819
Allan E. Romaguera,Kings,7,2016-11-08,U.S. House,REP,general,NY,9146
Allan E. Romaguera,New York,7,2016-11-08,U.S. House,REP,general,NY,2378
Allan E. Romaguera,Queens,7,2016-11-08,U.S. House,REP,general,NY,3417
Allan E. Romaguera,Total,7,2016-11-08,U.S. House,REP,general,NY,14941
Allan E. Romaguera,Kings,7,2016-11-08,U.S. House,CON,general,NY,1656
Allan E. Romaguera,New York,7,2016-11-08,U.S. House,CON,general,NY,352
Allan E. Romaguera,Queens,7,2016-11-08,U.S. House,CON,general,NY,529
Allan E. Romaguera,Total,7,2016-11-08,U.S. House,CON,general,NY,2537
Nydia M. Velazquez,Kings,7,2016-11-08,U.S. House,WEP,general,NY,4458
Nydia M. Velazquez,New York,7,2016-11-08,U.S. House,WEP,general,NY,700
Nydia M. Velazquez,Queens,7,2016-11-08,U.S. House,WEP,general,NY,1169
Nydia M. Velazquez,Total,7,2016-11-08,U.S. House,WEP,general,NY,6327
Blank,Kings,7,2016-11-08,U.S. House,,general,NY,10492
Blank,New York,7,2016-11-08,U.S. House,,general,NY,4451
Blank,Queens,7,2016-11-08,U.S. House,,general,NY,2150
Blank,Total,7,2016-11-08,U.S. House,,general,NY,17093
Void,Kings,7,2016-11-08,U.S. House,,general,NY,0
Void,New York,7,2016-11-08,U.S. House,,general,NY,0
Void,Queens,7,2016-11-08,U.S. House,,general,NY,0
Void,Total,7,2016-11-08,U.S. House,,general,NY,0
Scattering,Kings,7,2016-11-08,U.S. House,,general,NY,211
Scattering,New York,7,2016-11-08,U.S. House,,general,NY,30
