candidate,county,district,party,votes,election_date,state,scope,office
Blank,Nassau,5,,7200,2016-11-08,NY,general,State Senate
Blank,Suffolk,5,,5932,2016-11-08,NY,general,State Senate
Blank,Total,5,,13132,2016-11-08,NY,general,State Senate
Void,Nassau,5,,45,2016-11-08,NY,general,State Senate
Void,Suffolk,5,,20,2016-11-08,NY,general,State Senate
Void,Total,5,,65,2016-11-08,NY,general,State Senate
Scattering,Nassau,5,,38,2016-11-08,NY,general,State Senate
Scattering,Suffolk,5,,63,2016-11-08,NY,general,State Senate
Scattering,Total,5,,101,2016-11-08,NY,general,State Senate
Total,Nassau,5,,82119,2016-11-08,NY,general,State Senate
Total,Suffolk,5,,77470,2016-11-08,NY,general,State Senate
Total,Total,5,,159589,2016-11-08,NY,general,State Senate
Ryan E. Cronin,Nassau,6,DEM,58623,2016-11-08,NY,general,State Senate
Kemp Hannon,Nassau,6,REP,62674,2016-11-08,NY,general,State Senate
Kemp Hannon,Nassau,6,CON,6892,2016-11-08,NY,general,State Senate
Ryan E. Cronin,Nassau,6,WOR,2085,2016-11-08,NY,general,State Senate
Kemp Hannon,Nassau,6,IND,1383,2016-11-08,NY,general,State Senate
Ryan E. Cronin,Nassau,6,WEP,817,2016-11-08,NY,general,State Senate
Kemp Hannon,Nassau,6,REF,279,2016-11-08,NY,general,State Senate
Kemp Hannon,Nassau,6,TRP,395,2016-11-08,NY,general,State Senate
Blank,Nassau,6,,12279,2016-11-08,NY,general,State Senate
Void,Nassau,6,,159,2016-11-08,NY,general,State Senate
Scattering,Nassau,6,,64,2016-11-08,NY,general,State Senate
Total,Nassau,6,,145650,2016-11-08,NY,general,State Senate
Adam M. Haber,Nassau,7,DEM,64037,2016-11-08,NY,general,State Senate
Elaine R. Phillips,Nassau,7,REP,62030,2016-11-08,NY,general,State Senate
Elaine R. Phillips,Nassau,7,CON,5961,2016-11-08,NY,general,State Senate
Adam M. Haber,Nassau,7,WOR,1769,2016-11-08,NY,general,State Senate
Elaine R. Phillips,Nassau,7,IND,1497,2016-11-08,NY,general,State Senate
Adam M. Haber,Nassau,7,WEP,798,2016-11-08,NY,general,State Senate
Elaine R. Phillips,Nassau,7,REF,393,2016-11-08,NY,general,State Senate
Blank,Nassau,7,,11250,2016-11-08,NY,general,State Senate
Void,Nassau,7,,140,2016-11-08,NY,general,State Senate
Scattering,Nassau,7,,55,2016-11-08,NY,general,State Senate
Total,Nassau,7,,147930,2016-11-08,NY,general,State Senate
John E. Brooks,Nassau,8,DEM,50879,2016-11-08,NY,general,State Senate
John E. Brooks,Suffolk,8,DEM,14398,2016-11-08,NY,general,State Senate
John E. Brooks,Total,8,DEM,65277,2016-11-08,NY,general,State Senate
Michael Venditto,Nassau,8,REP,48779,2016-11-08,NY,general,State Senate
Michael Venditto,Suffolk,8,REP,10721,2016-11-08,NY,general,State Senate
Michael Venditto,Total,8,REP,59500,2016-11-08,NY,general,State Senate
Michael Venditto,Nassau,8,CON,5100,2016-11-08,NY,general,State Senate
Michael Venditto,Suffolk,8,CON,1517,2016-11-08,NY,general,State Senate
Michael Venditto,Total,8,CON,6617,2016-11-08,NY,general,State Senate
John E. Brooks,Nassau,8,WOR,1786,2016-11-08,NY,general,State Senate
John E. Brooks,Suffolk,8,WOR,546,2016-11-08,NY,general,State Senate
John E. Brooks,Total,8,WOR,2332,2016-11-08,NY,general,State Senate
Michael Venditto,Nassau,8,IND,1010,2016-11-08,NY,general,State Senate
Michael Venditto,Suffolk,8,IND,427,2016-11-08,NY,general,State Senate
Michael Venditto,Total,8,IND,1437,2016-11-08,NY,general,State Senate
John E. Brooks,Nassau,8,WEP,789,2016-11-08,NY,general,State Senate
John E. Brooks,Suffolk,8,WEP,201,2016-11-08,NY,general,State Senate
John E. Brooks,Total,8,WEP,990,2016-11-08,NY,general,State Senate
Michael Venditto,Nassau,8,REF,227,2016-11-08,NY,general,State Senate
Michael Venditto,Suffolk,8,REF,61,2016-11-08,NY,general,State Senate
Michael Venditto,Total,8,REF,288,2016-11-08,NY,general,State Senate
Michael Venditto,Nassau,8,TRP,341,2016-11-08,NY,general,State Senate
Michael Venditto,Suffolk,8,TRP,102,2016-11-08,NY,general,State Senate
Michael Venditto,Total,8,TRP,443,2016-11-08,NY,general,State Senate
Blank,Nassau,8,,10227,2016-11-08,NY,general,State Senate
Blank,Suffolk,8,,3395,2016-11-08,NY,general,State Senate
Blank,Total,8,,13622,2016-11-08,NY,general,State Senate
Void,Nassau,8,,107,2016-11-08,NY,general,State Senate
Void,Suffolk,8,,7,2016-11-08,NY,general,State Senate
Void,Total,8,,114,2016-11-08,NY,general,State Senate
Scattering,Nassau,8,,67,2016-11-08,NY,general,State Senate
Scattering,Suffolk,8,,17,2016-11-08,NY,general,State Senate
Scattering,Total,8,,84,2016-11-08,NY,general,State Senate
Total,Nassau,8,,119312,2016-11-08,NY,general,State Senate
Total,Suffolk,8,,31392,2016-11-08,NY,general,State Senate
Total,Total,8,,150704,2016-11-08,NY,general,State Senate
Todd D. Kaminsky,Nassau,9,DEM,72723,2016-11-08,NY,general,State Senate
Christopher T. McGrath,Nassau,9,REP,61702,2016-11-08,NY,general,State Senate
Christopher T. McGrath,Nassau,9,CON,5659,2016-11-08,NY,general,State Senate
Laurence S. Hirsh,Nassau,9,GRN,1565,2016-11-08,NY,general,State Senate
Todd D. Kaminsky,Nassau,9,WOR,2091,2016-11-08,NY,general,State Senate
Christopher T. McGrath,Nassau,9,IND,1257,2016-11-08,NY,general,State Senate
Todd D. Kaminsky,Nassau,9,WEP,925,2016-11-08,NY,general,State Senate
Christopher T. McGrath,Nassau,9,REF,263,2016-11-08,NY,general,State Senate
Christopher T. McGrath,Nassau,9,TRP,336,2016-11-08,NY,general,State Senate
Blank,Nassau,9,,9809,2016-11-08,NY,general,State Senate
Void,Nassau,9,,208,2016-11-08,NY,general,State Senate
Scattering,Nassau,9,,50,2016-11-08,NY,general,State Senate
Total,Nassau,9,,156588,2016-11-08,NY,general,State Senate
"James Sanders, Jr.",Queens,10,DEM,82219,2016-11-08,NY,general,State Senate
"James Sanders, Jr.",Queens,10,WOR,2363,2016-11-08,NY,general,State Senate
Adrienne E. Adams,Queens,10,WEP,3054,2016-11-08,NY,general,State Senate
Blank,Queens,10,,10039,2016-11-08,NY,general,State Senate
Void,Queens,10,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,10,,104,2016-11-08,NY,general,State Senate
Total,Queens,10,,97779,2016-11-08,NY,general,State Senate
Tony Avella,Queens,11,DEM,72520,2016-11-08,NY,general,State Senate
Mark Cipolla,Queens,11,REP,27575,2016-11-08,NY,general,State Senate
Mark Cipolla,Queens,11,CON,3206,2016-11-08,NY,general,State Senate
Mark Cipolla,Queens,11,REF,1016,2016-11-08,NY,general,State Senate
Blank,Queens,11,,8576,2016-11-08,NY,general,State Senate
Void,Queens,11,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,11,,88,2016-11-08,NY,general,State Senate
Total,Queens,11,,112981,2016-11-08,NY,general,State Senate
Michael N. Gianaris,Queens,12,DEM,76080,2016-11-08,NY,general,State Senate
Marvin R. Jeffcoat,Queens,12,REP,11928,2016-11-08,NY,general,State Senate
Marvin R. Jeffcoat,Queens,12,CON,1481,2016-11-08,NY,general,State Senate
Michael N. Gianaris,Queens,12,WOR,6248,2016-11-08,NY,general,State Senate
Blank,Queens,12,,9286,2016-11-08,NY,general,State Senate
Void,Queens,12,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,12,,117,2016-11-08,NY,general,State Senate
Total,Queens,12,,105140,2016-11-08,NY,general,State Senate
Jose R. Peralta,Queens,13,DEM,56925,2016-11-08,NY,general,State Senate
Jesus Gonzalez,Queens,13,REP,8007,2016-11-08,NY,general,State Senate
Jesus Gonzalez,Queens,13,CON,891,2016-11-08,NY,general,State Senate
Jose R. Peralta,Queens,13,WOR,2971,2016-11-08,NY,general,State Senate
Jesus Gonzalez,Queens,13,REF,264,2016-11-08,NY,general,State Senate
Blank,Queens,13,,6333,2016-11-08,NY,general,State Senate
Void,Queens,13,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,13,,75,2016-11-08,NY,general,State Senate
Total,Queens,13,,75466,2016-11-08,NY,general,State Senate
"Leroy G. Comrie, Jr.",Queens,14,DEM,95067,2016-11-08,NY,general,State Senate
Jarret N. Freeman,Queens,14,REP,8364,2016-11-08,NY,general,State Senate
"Leroy G. Comrie, Jr.",Queens,14,WOR,2511,2016-11-08,NY,general,State Senate
Blank,Queens,14,,6594,2016-11-08,NY,general,State Senate
Void,Queens,14,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,14,,89,2016-11-08,NY,general,State Senate
Total,Queens,14,,112625,2016-11-08,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,DEM,60102,2016-11-08,NY,general,State Senate
Michael Conigliaro,Queens,15,REP,30829,2016-11-08,NY,general,State Senate
Michael Conigliaro,Queens,15,CON,4113,2016-11-08,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,WEP,2358,2016-11-08,NY,general,State Senate
Michael Conigliaro,Queens,15,REF,749,2016-11-08,NY,general,State Senate
Blank,Queens,15,,7378,2016-11-08,NY,general,State Senate
Void,Queens,15,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,15,,66,2016-11-08,NY,general,State Senate
Total,Queens,15,,105595,2016-11-08,NY,general,State Senate
Toby Ann Stavisky,Queens,16,DEM,49431,2016-11-08,NY,general,State Senate
Carlos G. Giron,Queens,16,REP,13092,2016-11-08,NY,general,State Senate
Carlos G. Giron,Queens,16,CON,1311,2016-11-08,NY,general,State Senate
Toby Ann Stavisky,Queens,16,WOR,2013,2016-11-08,NY,general,State Senate
Toby Ann Stavisky,Queens,16,WEP,1051,2016-11-08,NY,general,State Senate
Carlos G. Giron,Queens,16,REF,453,2016-11-08,NY,general,State Senate
Blank,Queens,16,,10615,2016-11-08,NY,general,State Senate
Void,Queens,16,,0,2016-11-08,NY,general,State Senate
Scattering,Queens,16,,89,2016-11-08,NY,general,State Senate
Total,Queens,16,,78055,2016-11-08,NY,general,State Senate
Simcha Felder,Kings,17,DEM,35432,2016-11-08,NY,general,State Senate
Simcha Felder,Kings,17,REP,23560,2016-11-08,NY,general,State Senate
Simcha Felder,Kings,17,CON,4010,2016-11-08,NY,general,State Senate
Blank,Kings,17,,8716,2016-11-08,NY,general,State Senate
Void,Kings,17,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,17,,575,2016-11-08,NY,general,State Senate
Total,Kings,17,,72293,2016-11-08,NY,general,State Senate
Martin Malave Dilan,Kings,18,DEM,84182,2016-11-08,NY,general,State Senate
Martin Malave Dilan,Kings,18,IND,3431,2016-11-08,NY,general,State Senate
Blank,Kings,18,,12404,2016-11-08,NY,general,State Senate
Void,Kings,18,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,18,,337,2016-11-08,NY,general,State Senate
Total,Kings,18,,100354,2016-11-08,NY,general,State Senate
Roxanne J. Persaud,Kings,19,DEM,86433,2016-11-08,NY,general,State Senate
Roxanne J. Persaud,Kings,19,WOR,3786,2016-11-08,NY,general,State Senate
Blank,Kings,19,,15297,2016-11-08,NY,general,State Senate
Void,Kings,19,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,19,,193,2016-11-08,NY,general,State Senate
Total,Kings,19,,105709,2016-11-08,NY,general,State Senate
Jesse E. Hamilton,Kings,20,DEM,84081,2016-11-08,NY,general,State Senate
Menachem M. Raitport,Kings,20,REP,4705,2016-11-08,NY,general,State Senate
Menachem M. Raitport,Kings,20,CON,1001,2016-11-08,NY,general,State Senate
Jesse E. Hamilton,Kings,20,WOR,5465,2016-11-08,NY,general,State Senate
Jesse E. Hamilton,Kings,20,IND,726,2016-11-08,NY,general,State Senate
Blank,Kings,20,,6038,2016-11-08,NY,general,State Senate
Void,Kings,20,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,20,,112,2016-11-08,NY,general,State Senate
Total,Kings,20,,102128,2016-11-08,NY,general,State Senate
Kevin S. Parker,Kings,21,DEM,101370,2016-11-08,NY,general,State Senate
Brian W. Kelly,Kings,21,CON,4256,2016-11-08,NY,general,State Senate
Kevin S. Parker,Kings,21,WOR,8312,2016-11-08,NY,general,State Senate
Blank,Kings,21,,7813,2016-11-08,NY,general,State Senate
Void,Kings,21,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,21,,128,2016-11-08,NY,general,State Senate
Total,Kings,21,,121879,2016-11-08,NY,general,State Senate
Martin J. Golden,Kings,22,REP,47491,2016-11-08,NY,general,State Senate
Martin J. Golden,Kings,22,CON,5694,2016-11-08,NY,general,State Senate
Martin J. Golden,Kings,22,IND,6654,2016-11-08,NY,general,State Senate
Martin J. Golden,Kings,22,REF,2194,2016-11-08,NY,general,State Senate
Blank,Kings,22,,24636,2016-11-08,NY,general,State Senate
Void,Kings,22,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,22,,1054,2016-11-08,NY,general,State Senate
Total,Kings,22,,87723,2016-11-08,NY,general,State Senate
Diane J. Savino,Kings,23,DEM,23977,2016-11-08,NY,general,State Senate
Diane J. Savino,Richmond,23,DEM,34084,2016-11-08,NY,general,State Senate
Diane J. Savino,Total,23,DEM,58061,2016-11-08,NY,general,State Senate
Diane J. Savino,Kings,23,IND,3044,2016-11-08,NY,general,State Senate
Diane J. Savino,Richmond,23,IND,2761,2016-11-08,NY,general,State Senate
Diane J. Savino,Total,23,IND,5805,2016-11-08,NY,general,State Senate
Blank,Kings,23,,15426,2016-11-08,NY,general,State Senate
Blank,Richmond,23,,9766,2016-11-08,NY,general,State Senate
Blank,Total,23,,25192,2016-11-08,NY,general,State Senate
Void,Kings,23,,0,2016-11-08,NY,general,State Senate
Void,Richmond,23,,0,2016-11-08,NY,general,State Senate
Void,Total,23,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,23,,119,2016-11-08,NY,general,State Senate
Scattering,Richmond,23,,200,2016-11-08,NY,general,State Senate
Scattering,Total,23,,319,2016-11-08,NY,general,State Senate
Total,Kings,23,,42566,2016-11-08,NY,general,State Senate
Total,Richmond,23,,46811,2016-11-08,NY,general,State Senate
Total,Total,23,,89377,2016-11-08,NY,general,State Senate
Andrew J. Lanza,Richmond,24,REP,88720,2016-11-08,NY,general,State Senate
Andrew J. Lanza,Richmond,24,CON,9522,2016-11-08,NY,general,State Senate
Andrew J. Lanza,Richmond,24,IND,7404,2016-11-08,NY,general,State Senate
Andrew J. Lanza,Richmond,24,REF,1711,2016-11-08,NY,general,State Senate
Blank,Richmond,24,,26679,2016-11-08,NY,general,State Senate
Void,Richmond,24,,0,2016-11-08,NY,general,State Senate
Scattering,Richmond,24,,718,2016-11-08,NY,general,State Senate
Total,Richmond,24,,134754,2016-11-08,NY,general,State Senate
Velmanette Montgomery,Kings,25,DEM,105945,2016-11-08,NY,general,State Senate
Mamie Rose,Kings,25,REP,3896,2016-11-08,NY,general,State Senate
Velmanette Montgomery,Kings,25,WOR,8998,2016-11-08,NY,general,State Senate
Michael G. Cox,Kings,25,IND,4247,2016-11-08,NY,general,State Senate
Blank,Kings,25,,7457,2016-11-08,NY,general,State Senate
Void,Kings,25,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,25,,110,2016-11-08,NY,general,State Senate
Total,Kings,25,,130653,2016-11-08,NY,general,State Senate
Daniel Squadron,Kings,26,DEM,34133,2016-11-08,NY,general,State Senate
Daniel Squadron,New York,26,DEM,53327,2016-11-08,NY,general,State Senate
Daniel Squadron,Total,26,DEM,87460,2016-11-08,NY,general,State Senate
Daniel Squadron,Kings,26,WOR,3697,2016-11-08,NY,general,State Senate
Daniel Squadron,New York,26,WOR,4305,2016-11-08,NY,general,State Senate
Daniel Squadron,Total,26,WOR,8002,2016-11-08,NY,general,State Senate
Blank,Kings,26,,5038,2016-11-08,NY,general,State Senate
Blank,New York,26,,13581,2016-11-08,NY,general,State Senate
Blank,Total,26,,18619,2016-11-08,NY,general,State Senate
Void,Kings,26,,0,2016-11-08,NY,general,State Senate
Void,New York,26,,0,2016-11-08,NY,general,State Senate
Void,Total,26,,0,2016-11-08,NY,general,State Senate
Scattering,Kings,26,,242,2016-11-08,NY,general,State Senate
Scattering,New York,26,,368,2016-11-08,NY,general,State Senate
Scattering,Total,26,,610,2016-11-08,NY,general,State Senate
Total,Kings,26,,43110,2016-11-08,NY,general,State Senate
Total,New York,26,,71581,2016-11-08,NY,general,State Senate
Total,Total,26,,114691,2016-11-08,NY,general,State Senate
Brad M. Hoylman,New York,27,DEM,110400,2016-11-08,NY,general,State Senate
Brad M. Hoylman,New York,27,WOR,7971,2016-11-08,NY,general,State Senate
Stephen Roberts,New York,27,RPP,5317,2016-11-08,NY,general,State Senate
Blank,New York,27,,19279,2016-11-08,NY,general,State Senate
Void,New York,27,,0,2016-11-08,NY,general,State Senate
Scattering,New York,27,,387,2016-11-08,NY,general,State Senate
Total,New York,27,,143354,2016-11-08,NY,general,State Senate
Liz Krueger,New York,28,DEM,97885,2016-11-08,NY,general,State Senate
Michael Zumbluskas,New York,28,REP,31612,2016-11-08,NY,general,State Senate
Liz Krueger,New York,28,WOR,3232,2016-11-08,NY,general,State Senate
Michael Zumbluskas,New York,28,IND,989,2016-11-08,NY,general,State Senate
Michael Zumbluskas,New York,28,WEP,279,2016-11-08,NY,general,State Senate
Michael Zumbluskas,New York,28,LBT,908,2016-11-08,NY,general,State Senate
Blank,New York,28,,7831,2016-11-08,NY,general,State Senate
Void,New York,28,,0,2016-11-08,NY,general,State Senate
Scattering,New York,28,,77,2016-11-08,NY,general,State Senate
Total,New York,28,,142813,2016-11-08,NY,general,State Senate
Jose M. Serrano,Bronx,29,DEM,18111,2016-11-08,NY,general,State Senate
Jose M. Serrano,New York,29,DEM,38083,2016-11-08,NY,general,State Senate
Jose M. Serrano,Total,29,DEM,56194,2016-11-08,NY,general,State Senate
Jose A. Colon,Bronx,29,REP,686,2016-11-08,NY,general,State Senate
Jose A. Colon,New York,29,REP,5472,2016-11-08,NY,general,State Senate
Jose A. Colon,Total,29,REP,6158,2016-11-08,NY,general,State Senate
Linda Ortiz,Bronx,29,CON,318,2016-11-08,NY,general,State Senate
Linda Ortiz,New York,29,CON,1434,2016-11-08,NY,general,State Senate
Linda Ortiz,Total,29,CON,1752,2016-11-08,NY,general,State Senate
Blank,Bronx,29,,3389,2016-11-08,NY,general,State Senate
Blank,New York,29,,3924,2016-11-08,NY,general,State Senate
Blank,Total,29,,7313,2016-11-08,NY,general,State Senate
Void,Bronx,29,,0,2016-11-08,NY,general,State Senate
Void,New York,29,,0,2016-11-08,NY,general,State Senate
Void,Total,29,,0,2016-11-08,NY,general,State Senate
Scattering,Bronx,29,,13,2016-11-08,NY,general,State Senate
Scattering,New York,29,,44,2016-11-08,NY,general,State Senate
Scattering,Total,29,,57,2016-11-08,NY,general,State Senate
Total,Bronx,29,,22517,2016-11-08,NY,general,State Senate
Total,New York,29,,48957,2016-11-08,NY,general,State Senate
Total,Total,29,,71474,2016-11-08,NY,general,State Senate
Bill Perkins,New York,30,DEM,107425,2016-11-08,NY,general,State Senate
Jon Girodes,New York,30,REP,5619,2016-11-08,NY,general,State Senate
Bill Perkins,New York,30,WOR,5719,2016-11-08,NY,general,State Senate
Blank,New York,30,,10225,2016-11-08,NY,general,State Senate
Void,New York,30,,0,2016-11-08,NY,general,State Senate
Scattering,New York,30,,134,2016-11-08,NY,general,State Senate
Total,New York,30,,129122,2016-11-08,NY,general,State Senate
Marisol Alcantara,New York,31,DEM,97964,2016-11-08,NY,general,State Senate
Melinda Crump,New York,31,REP,8719,2016-11-08,NY,general,State Senate
John Toro,New York,31,CON,1368,2016-11-08,NY,general,State Senate
Julia Willebrand,New York,31,GRN,6400,2016-11-08,NY,general,State Senate
Blank,New York,31,,12152,2016-11-08,NY,general,State Senate
Void,New York,31,,0,2016-11-08,NY,general,State Senate
Scattering,New York,31,,339,2016-11-08,NY,general,State Senate
Total,New York,31,,126942,2016-11-08,NY,general,State Senate
"Ruben Diaz, Sr.",Bronx,32,DEM,79574,2016-11-08,NY,general,State Senate
Oswald Denis,Bronx,32,CON,2292,2016-11-08,NY,general,State Senate
Blank,Bronx,32,,10424,2016-11-08,NY,general,State Senate
Void,Bronx,32,,0,2016-11-08,NY,general,State Senate
Scattering,Bronx,32,,114,2016-11-08,NY,general,State Senate
Total,Bronx,32,,92404,2016-11-08,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,DEM,60230,2016-11-08,NY,general,State Senate
Steven M. Stern,Bronx,33,CON,1340,2016-11-08,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,WOR,1723,2016-11-08,NY,general,State Senate
Blank,Bronx,33,,14141,2016-11-08,NY,general,State Senate
Void,Bronx,33,,0,2016-11-08,NY,general,State Senate
Scattering,Bronx,33,,55,2016-11-08,NY,general,State Senate
Total,Bronx,33,,77489,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,DEM,70177,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,DEM,5922,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Total,34,DEM,76099,2016-11-08,NY,general,State Senate
Aleksander Mici,Bronx,34,CON,5184,2016-11-08,NY,general,State Senate
Aleksander Mici,Westchester,34,CON,896,2016-11-08,NY,general,State Senate
Aleksander Mici,Total,34,CON,6080,2016-11-08,NY,general,State Senate
Carl Lundgren,Bronx,34,GRN,2438,2016-11-08,NY,general,State Senate
Carl Lundgren,Westchester,34,GRN,248,2016-11-08,NY,general,State Senate
Carl Lundgren,Total,34,GRN,2686,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,IND,1890,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,IND,314,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Total,34,IND,2204,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,WEP,2579,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,WEP,116,2016-11-08,NY,general,State Senate
Jeffrey D. Klein,Total,34,WEP,2695,2016-11-08,NY,general,State Senate
Blank,Bronx,34,,13913,2016-11-08,NY,general,State Senate
Blank,Westchester,34,,1945,2016-11-08,NY,general,State Senate
Blank,Total,34,,15858,2016-11-08,NY,general,State Senate
Void,Bronx,34,,0,2016-11-08,NY,general,State Senate
Void,Westchester,34,,0,2016-11-08,NY,general,State Senate
Void,Total,34,,0,2016-11-08,NY,general,State Senate
Scattering,Bronx,34,,103,2016-11-08,NY,general,State Senate
Scattering,Westchester,34,,7,2016-11-08,NY,general,State Senate
Scattering,Total,34,,110,2016-11-08,NY,general,State Senate
Total,Bronx,34,,96284,2016-11-08,NY,general,State Senate
Total,Westchester,34,,9448,2016-11-08,NY,general,State Senate
Total,Total,34,,105732,2016-11-08,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,DEM,87271,2016-11-08,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,WOR,4216,2016-11-08,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,IND,2178,2016-11-08,NY,general,State Senate
