candidate,county,district,party,votes,election_date,state,scope,office
Gregory-John Fischer,Suffolk,1,DEM,47813,2016-11-08,NY,general,State Senate
Kenneth P. La Valle,Suffolk,1,REP,78075,2016-11-08,NY,general,State Senate
Kenneth P. La Valle,Suffolk,1,CON,11092,2016-11-08,NY,general,State Senate
Kenneth P. La Valle,Suffolk,1,IND,5073,2016-11-08,NY,general,State Senate
Kenneth P. La Valle,Suffolk,1,REF,516,2016-11-08,NY,general,State Senate
Blank,Suffolk,1,,12969,2016-11-08,NY,general,State Senate
Void,Suffolk,1,,47,2016-11-08,NY,general,State Senate
Scattering,Suffolk,1,,121,2016-11-08,NY,general,State Senate
Total,Suffolk,1,,155706,2016-11-08,NY,general,State Senate
Peter N. Magistrale,Suffolk,2,DEM,47623,2016-11-08,NY,general,State Senate
John J. Flanagan,Suffolk,2,REP,77309,2016-11-08,NY,general,State Senate
John J. Flanagan,Suffolk,2,CON,10570,2016-11-08,NY,general,State Senate
John J. Flanagan,Suffolk,2,IND,3293,2016-11-08,NY,general,State Senate
Stephen Ruth,Suffolk,2,LBT,5505,2016-11-08,NY,general,State Senate
Blank,Suffolk,2,,13234,2016-11-08,NY,general,State Senate
Void,Suffolk,2,,190,2016-11-08,NY,general,State Senate
Scattering,Suffolk,2,,32,2016-11-08,NY,general,State Senate
Total,Suffolk,2,,157756,2016-11-08,NY,general,State Senate
"John M. De Vito, Jr.",Suffolk,3,DEM,43764,2016-11-08,NY,general,State Senate
Thomas D. Croci,Suffolk,3,REP,54727,2016-11-08,NY,general,State Senate
Thomas D. Croci,Suffolk,3,CON,8107,2016-11-08,NY,general,State Senate
"John M. De Vito, Jr.",Suffolk,3,WOR,2344,2016-11-08,NY,general,State Senate
Thomas D. Croci,Suffolk,3,IND,2462,2016-11-08,NY,general,State Senate
Joseph L. Fritz,Suffolk,3,WEP,1363,2016-11-08,NY,general,State Senate
Thomas D. Croci,Suffolk,3,REF,417,2016-11-08,NY,general,State Senate
Blank,Suffolk,3,,12085,2016-11-08,NY,general,State Senate
Void,Suffolk,3,,123,2016-11-08,NY,general,State Senate
Scattering,Suffolk,3,,97,2016-11-08,NY,general,State Senate
Total,Suffolk,3,,125489,2016-11-08,NY,general,State Senate
John R. Alberts,Suffolk,4,DEM,45232,2016-11-08,NY,general,State Senate
Philip M. Boyle,Suffolk,4,REP,63490,2016-11-08,NY,general,State Senate
Philip M. Boyle,Suffolk,4,CON,9292,2016-11-08,NY,general,State Senate
Philip M. Boyle,Suffolk,4,IND,3081,2016-11-08,NY,general,State Senate
Philip M. Boyle,Suffolk,4,REF,548,2016-11-08,NY,general,State Senate
Blank,Suffolk,4,,15547,2016-11-08,NY,general,State Senate
Void,Suffolk,4,,27,2016-11-08,NY,general,State Senate
Scattering,Suffolk,4,,73,2016-11-08,NY,general,State Senate
Total,Suffolk,4,,137290,2016-11-08,NY,general,State Senate
James F. Gaughran,Nassau,5,DEM,36627,2016-11-08,NY,general,State Senate
James F. Gaughran,Suffolk,5,DEM,32261,2016-11-08,NY,general,State Senate
James F. Gaughran,Total,5,DEM,68888,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Nassau,5,REP,32709,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,REP,31547,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Total,5,REP,64256,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Nassau,5,CON,3122,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,CON,4614,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Total,5,CON,7736,2016-11-08,NY,general,State Senate
James F. Gaughran,Nassau,5,WOR,1126,2016-11-08,NY,general,State Senate
James F. Gaughran,Suffolk,5,WOR,1268,2016-11-08,NY,general,State Senate
James F. Gaughran,Total,5,WOR,2394,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Nassau,5,IND,651,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,IND,1015,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Total,5,IND,1666,2016-11-08,NY,general,State Senate
James F. Gaughran,Nassau,5,WEP,455,2016-11-08,NY,general,State Senate
James F. Gaughran,Suffolk,5,WEP,528,2016-11-08,NY,general,State Senate
James F. Gaughran,Total,5,WEP,983,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Nassau,5,REF,146,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,REF,222,2016-11-08,NY,general,State Senate
Carl L. Marcellino,Total,5,REF,368,2016-11-08,NY,general,State Senate
