candidate,county,district,party,votes,election_date,state,scope,office
Blank,Suffolk,8,,3592,2012-11-06,NY,general,State Senate
Blank,Total,8,,14885,2012-11-06,NY,general,State Senate
Void,Nassau,8,,163,2012-11-06,NY,general,State Senate
Void,Suffolk,8,,25,2012-11-06,NY,general,State Senate
Void,Total,8,,188,2012-11-06,NY,general,State Senate
Scattering,Nassau,8,,13,2012-11-06,NY,general,State Senate
Scattering,Suffolk,8,,7,2012-11-06,NY,general,State Senate
Scattering,Total,8,,20,2012-11-06,NY,general,State Senate
Total,Nassau,8,,104442,2012-11-06,NY,general,State Senate
Total,Suffolk,8,,26752,2012-11-06,NY,general,State Senate
Total,Total,8,,131194,2012-11-06,NY,general,State Senate
Thomas H. Feffer,Nassau,9,DEM,44646,2012-11-06,NY,general,State Senate
Dean G. Skelos,Nassau,9,REP,59603,2012-11-06,NY,general,State Senate
Dean G. Skelos,Nassau,9,CON,6070,2012-11-06,NY,general,State Senate
Dean G. Skelos,Nassau,9,IND,2675,2012-11-06,NY,general,State Senate
Dean G. Skelos,Nassau,9,TRP,468,2012-11-06,NY,general,State Senate
Blank,Nassau,9,,19415,2012-11-06,NY,general,State Senate
Void,Nassau,9,,159,2012-11-06,NY,general,State Senate
Scattering,Nassau,9,,29,2012-11-06,NY,general,State Senate
Total,Nassau,9,,133065,2012-11-06,NY,general,State Senate
"James Sanders, Jr.",Queens,10,DEM,67474,2012-11-06,NY,general,State Senate
Blank,Queens,10,,21529,2012-11-06,NY,general,State Senate
Void,Queens,10,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,10,,93,2012-11-06,NY,general,State Senate
Total,Queens,10,,89096,2012-11-06,NY,general,State Senate
Tony Avella,Queens,11,DEM,61007,2012-11-06,NY,general,State Senate
Joseph R. Concannon,Queens,11,REP,21227,2012-11-06,NY,general,State Senate
Joseph R. Concannon,Queens,11,CON,2323,2012-11-06,NY,general,State Senate
Tony Avella,Queens,11,WOR,2298,2012-11-06,NY,general,State Senate
Tony Avella,Queens,11,IND,1471,2012-11-06,NY,general,State Senate
Blank,Queens,11,,10770,2012-11-06,NY,general,State Senate
Void,Queens,11,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,11,,46,2012-11-06,NY,general,State Senate
Total,Queens,11,,99142,2012-11-06,NY,general,State Senate
Michael N. Gianaris,Queens,12,DEM,58576,2012-11-06,NY,general,State Senate
Aurelio A. Arcabascio,Queens,12,REP,8772,2012-11-06,NY,general,State Senate
Aurelio A. Arcabascio,Queens,12,CON,1003,2012-11-06,NY,general,State Senate
Michael N. Gianaris,Queens,12,WOR,3267,2012-11-06,NY,general,State Senate
Blank,Queens,12,,11792,2012-11-06,NY,general,State Senate
Void,Queens,12,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,12,,43,2012-11-06,NY,general,State Senate
Total,Queens,12,,83453,2012-11-06,NY,general,State Senate
Jose R. Peralta,Queens,13,DEM,47855,2012-11-06,NY,general,State Senate
Jose R. Peralta,Queens,13,WOR,2038,2012-11-06,NY,general,State Senate
Blank,Queens,13,,13699,2012-11-06,NY,general,State Senate
Void,Queens,13,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,13,,83,2012-11-06,NY,general,State Senate
Total,Queens,13,,63675,2012-11-06,NY,general,State Senate
Malcolm A. Smith,Queens,14,DEM,84521,2012-11-06,NY,general,State Senate
Malcolm A. Smith,Queens,14,WOR,1898,2012-11-06,NY,general,State Senate
Blank,Queens,14,,18328,2012-11-06,NY,general,State Senate
Void,Queens,14,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,14,,102,2012-11-06,NY,general,State Senate
Total,Queens,14,,104849,2012-11-06,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,DEM,40456,2012-11-06,NY,general,State Senate
Eric A. Ulrich,Queens,15,REP,26954,2012-11-06,NY,general,State Senate
Eric A. Ulrich,Queens,15,CON,2917,2012-11-06,NY,general,State Senate
"Joseph P. Addabbo, Jr.",Queens,15,WOR,1734,2012-11-06,NY,general,State Senate
Eric A. Ulrich,Queens,15,IND,1165,2012-11-06,NY,general,State Senate
Blank,Queens,15,,11905,2012-11-06,NY,general,State Senate
Void,Queens,15,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,15,,52,2012-11-06,NY,general,State Senate
Total,Queens,15,,85183,2012-11-06,NY,general,State Senate
Toby Ann Stavisky,Queens,16,DEM,41920,2012-11-06,NY,general,State Senate
J. D. Kim,Queens,16,REP,12424,2012-11-06,NY,general,State Senate
J. D. Kim,Queens,16,CON,1083,2012-11-06,NY,general,State Senate
Toby Ann Stavisky,Queens,16,WOR,1338,2012-11-06,NY,general,State Senate
Toby Ann Stavisky,Queens,16,IND,722,2012-11-06,NY,general,State Senate
Blank,Queens,16,,12296,2012-11-06,NY,general,State Senate
Void,Queens,16,,0,2012-11-06,NY,general,State Senate
Scattering,Queens,16,,48,2012-11-06,NY,general,State Senate
Total,Queens,16,,69831,2012-11-06,NY,general,State Senate
Simcha Felder,Kings,17,DEM,32759,2012-11-06,NY,general,State Senate
David Storobin,Kings,17,REP,19338,2012-11-06,NY,general,State Senate
Simcha Felder,Kings,17,CON,6135,2012-11-06,NY,general,State Senate
Abraham Tischler,Kings,17,SCP,528,2012-11-06,NY,general,State Senate
Simcha Felder,Kings,17,TCN,372,2012-11-06,NY,general,State Senate
Blank,Kings,17,,7947,2012-11-06,NY,general,State Senate
Void,Kings,17,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,17,,155,2012-11-06,NY,general,State Senate
Total,Kings,17,,67234,2012-11-06,NY,general,State Senate
Martin Malave Dilan,Kings,18,DEM,69749,2012-11-06,NY,general,State Senate
Michael E. Freeman-Saulsberre,Kings,18,REP,3195,2012-11-06,NY,general,State Senate
Michael E. Freeman-Saulsberre,Kings,18,CON,792,2012-11-06,NY,general,State Senate
Blank,Kings,18,,13716,2012-11-06,NY,general,State Senate
Void,Kings,18,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,18,,101,2012-11-06,NY,general,State Senate
Total,Kings,18,,87553,2012-11-06,NY,general,State Senate
John L. Sampson,Kings,19,DEM,77618,2012-11-06,NY,general,State Senate
Jane Neal,Kings,19,REP,7226,2012-11-06,NY,general,State Senate
Elias J. Weir,Kings,19,CON,1196,2012-11-06,NY,general,State Senate
John L. Sampson,Kings,19,WOR,1356,2012-11-06,NY,general,State Senate
Blank,Kings,19,,13131,2012-11-06,NY,general,State Senate
Void,Kings,19,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,19,,23,2012-11-06,NY,general,State Senate
Total,Kings,19,,100550,2012-11-06,NY,general,State Senate
Eric Adams,Kings,20,DEM,77335,2012-11-06,NY,general,State Senate
Rose Laney,Kings,20,REP,2683,2012-11-06,NY,general,State Senate
Brian Kelly,Kings,20,CON,938,2012-11-06,NY,general,State Senate
Eric Adams,Kings,20,WOR,3775,2012-11-06,NY,general,State Senate
Blank,Kings,20,,11113,2012-11-06,NY,general,State Senate
Void,Kings,20,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,20,,38,2012-11-06,NY,general,State Senate
Total,Kings,20,,95882,2012-11-06,NY,general,State Senate
Kevin S. Parker,Kings,21,DEM,89961,2012-11-06,NY,general,State Senate
Mindy Meyer,Kings,21,CON,2733,2012-11-06,NY,general,State Senate
Kevin S. Parker,Kings,21,WOR,5349,2012-11-06,NY,general,State Senate
Blank,Kings,21,,13640,2012-11-06,NY,general,State Senate
Void,Kings,21,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,21,,60,2012-11-06,NY,general,State Senate
Total,Kings,21,,111743,2012-11-06,NY,general,State Senate
Andrew S. Gounardes,Kings,22,DEM,26525,2012-11-06,NY,general,State Senate
Martin J. Golden,Kings,22,REP,32774,2012-11-06,NY,general,State Senate
Martin J. Golden,Kings,22,CON,4178,2012-11-06,NY,general,State Senate
Andrew S. Gounardes,Kings,22,WOR,1718,2012-11-06,NY,general,State Senate
Martin J. Golden,Kings,22,IND,1632,2012-11-06,NY,general,State Senate
Blank,Kings,22,,7573,2012-11-06,NY,general,State Senate
Void,Kings,22,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,22,,51,2012-11-06,NY,general,State Senate
Total,Kings,22,,74451,2012-11-06,NY,general,State Senate
Diane J. Savino,Kings,23,DEM,16830,2012-11-06,NY,general,State Senate
Diane J. Savino,Richmond,23,DEM,30658,2012-11-06,NY,general,State Senate
Diane J. Savino,Total,23,DEM,47488,2012-11-06,NY,general,State Senate
Lisa Grey,Kings,23,REP,7740,2012-11-06,NY,general,State Senate
Lisa Grey,Richmond,23,REP,5843,2012-11-06,NY,general,State Senate
Lisa Grey,Total,23,REP,13583,2012-11-06,NY,general,State Senate
Lisa Grey,Kings,23,CON,628,2012-11-06,NY,general,State Senate
Lisa Grey,Richmond,23,CON,920,2012-11-06,NY,general,State Senate
Lisa Grey,Total,23,CON,1548,2012-11-06,NY,general,State Senate
Diane J. Savino,Kings,23,WOR,734,2012-11-06,NY,general,State Senate
Diane J. Savino,Richmond,23,WOR,1392,2012-11-06,NY,general,State Senate
Diane J. Savino,Total,23,WOR,2126,2012-11-06,NY,general,State Senate
Diane J. Savino,Kings,23,IND,345,2012-11-06,NY,general,State Senate
Diane J. Savino,Richmond,23,IND,596,2012-11-06,NY,general,State Senate
Diane J. Savino,Total,23,IND,941,2012-11-06,NY,general,State Senate
Blank,Kings,23,,7710,2012-11-06,NY,general,State Senate
Blank,Richmond,23,,3288,2012-11-06,NY,general,State Senate
Blank,Total,23,,10998,2012-11-06,NY,general,State Senate
Void,Kings,23,,0,2012-11-06,NY,general,State Senate
Void,Richmond,23,,0,2012-11-06,NY,general,State Senate
Void,Total,23,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,23,,19,2012-11-06,NY,general,State Senate
Scattering,Richmond,23,,25,2012-11-06,NY,general,State Senate
Scattering,Total,23,,44,2012-11-06,NY,general,State Senate
Total,Kings,23,,34006,2012-11-06,NY,general,State Senate
Total,Richmond,23,,42722,2012-11-06,NY,general,State Senate
Total,Total,23,,76728,2012-11-06,NY,general,State Senate
Gary W. Carsel,Richmond,24,DEM,25561,2012-11-06,NY,general,State Senate
Andrew J. Lanza,Richmond,24,REP,67731,2012-11-06,NY,general,State Senate
Andrew J. Lanza,Richmond,24,CON,7697,2012-11-06,NY,general,State Senate
Gary W. Carsel,Richmond,24,WOR,1332,2012-11-06,NY,general,State Senate
Andrew J. Lanza,Richmond,24,IND,2990,2012-11-06,NY,general,State Senate
Blank,Richmond,24,,6236,2012-11-06,NY,general,State Senate
Void,Richmond,24,,0,2012-11-06,NY,general,State Senate
Scattering,Richmond,24,,75,2012-11-06,NY,general,State Senate
Total,Richmond,24,,111622,2012-11-06,NY,general,State Senate
Velmanette Montgomery,Kings,25,DEM,96423,2012-11-06,NY,general,State Senate
John A. Jasilli,Kings,25,REP,2501,2012-11-06,NY,general,State Senate
John A. Jasilli,Kings,25,CON,443,2012-11-06,NY,general,State Senate
Velmanette Montgomery,Kings,25,WOR,6517,2012-11-06,NY,general,State Senate
Blank,Kings,25,,14903,2012-11-06,NY,general,State Senate
Void,Kings,25,,0,2012-11-06,NY,general,State Senate
Scattering,Kings,25,,44,2012-11-06,NY,general,State Senate
Total,Kings,25,,120831,2012-11-06,NY,general,State Senate
Daniel Squadron,Kings  *,26,DEM,27002,2012-11-06,NY,general,State Senate
Daniel Squadron,New York,26,DEM,39431,2012-11-06,NY,general,State Senate
Daniel Squadron,Total,26,DEM,66433,2012-11-06,NY,general,State Senate
Jacqueline Haro,Kings  *,26,REP,3898,2012-11-06,NY,general,State Senate
Jacqueline Haro,New York,26,REP,7045,2012-11-06,NY,general,State Senate
Jacqueline Haro,Total,26,REP,10943,2012-11-06,NY,general,State Senate
Daniel Squadron,Kings  *,26,WOR,2926,2012-11-06,NY,general,State Senate
Daniel Squadron,New York,26,WOR,2262,2012-11-06,NY,general,State Senate
Daniel Squadron,Total,26,WOR,5188,2012-11-06,NY,general,State Senate
Blank,Kings  *,26,,4624,2012-11-06,NY,general,State Senate
Blank,New York,26,,11949,2012-11-06,NY,general,State Senate
Blank,Total,26,,16573,2012-11-06,NY,general,State Senate
Void,Kings  *,26,,0,2012-11-06,NY,general,State Senate
Void,New York,26,,0,2012-11-06,NY,general,State Senate
Void,Total,26,,0,2012-11-06,NY,general,State Senate
Scattering,Kings  *,26,,50,2012-11-06,NY,general,State Senate
Scattering,New York,26,,30,2012-11-06,NY,general,State Senate
Scattering,Total,26,,80,2012-11-06,NY,general,State Senate
Total,Kings  *,26,,38500,2012-11-06,NY,general,State Senate
Total,New York,26,,60717,2012-11-06,NY,general,State Senate
Total,Total,26,,99217,2012-11-06,NY,general,State Senate
Brad M. Hoylman,New York,27,DEM,87508,2012-11-06,NY,general,State Senate
Brad M. Hoylman,New York,27,WOR,6061,2012-11-06,NY,general,State Senate
Blank,New York,27,,32334,2012-11-06,NY,general,State Senate
Void,New York,27,,0,2012-11-06,NY,general,State Senate
Scattering,New York,27,,206,2012-11-06,NY,general,State Senate
Total,New York,27,,126109,2012-11-06,NY,general,State Senate
Liz Krueger,New York,28,DEM,81038,2012-11-06,NY,general,State Senate
David Paul Garland,New York,28,REP,28159,2012-11-06,NY,general,State Senate
Liz Krueger,New York,28,WOR,2465,2012-11-06,NY,general,State Senate
David Paul Garland,New York,28,IND,1281,2012-11-06,NY,general,State Senate
Blank,New York,28,,13600,2012-11-06,NY,general,State Senate
Void,New York,28,,0,2012-11-06,NY,general,State Senate
Scattering,New York,28,,37,2012-11-06,NY,general,State Senate
Total,New York,28,,126580,2012-11-06,NY,general,State Senate
Jose M. Serrano,Bronx,29,DEM,40761,2012-11-06,NY,general,State Senate
Jose M. Serrano,New York,29,DEM,30130,2012-11-06,NY,general,State Senate
Jose M. Serrano,Total,29,DEM,70891,2012-11-06,NY,general,State Senate
Robert Goodman,Bronx,29,CON,513,2012-11-06,NY,general,State Senate
Robert Goodman,New York,29,CON,2869,2012-11-06,NY,general,State Senate
Robert Goodman,Total,29,CON,3382,2012-11-06,NY,general,State Senate
Jose M. Serrano,Bronx,29,WOR,555,2012-11-06,NY,general,State Senate
Jose M. Serrano,New York,29,WOR,1204,2012-11-06,NY,general,State Senate
Jose M. Serrano,Total,29,WOR,1759,2012-11-06,NY,general,State Senate
Thomas Siracuse,Bronx,29,GRN,180,2012-11-06,NY,general,State Senate
Thomas Siracuse,New York,29,GRN,1065,2012-11-06,NY,general,State Senate
Thomas Siracuse,Total,29,GRN,1245,2012-11-06,NY,general,State Senate
Blank,Bronx,29,,7357,2012-11-06,NY,general,State Senate
Blank,New York,29,,9252,2012-11-06,NY,general,State Senate
Blank,Total,29,,16609,2012-11-06,NY,general,State Senate
Void,Bronx,29,,0,2012-11-06,NY,general,State Senate
Void,New York,29,,0,2012-11-06,NY,general,State Senate
Void,Total,29,,0,2012-11-06,NY,general,State Senate
Scattering,Bronx,29,,7,2012-11-06,NY,general,State Senate
Scattering,New York,29,,24,2012-11-06,NY,general,State Senate
Scattering,Total,29,,31,2012-11-06,NY,general,State Senate
Total,Bronx,29,,49373,2012-11-06,NY,general,State Senate
Total,New York,29,,44544,2012-11-06,NY,general,State Senate
Total,Total,29,,93917,2012-11-06,NY,general,State Senate
Bill Perkins,New York,30,DEM,94487,2012-11-06,NY,general,State Senate
Bill Perkins,New York,30,WOR,3651,2012-11-06,NY,general,State Senate
Blank,New York,30,,25521,2012-11-06,NY,general,State Senate
Void,New York,30,,0,2012-11-06,NY,general,State Senate
Scattering,New York,30,,141,2012-11-06,NY,general,State Senate
Total,New York,30,,123800,2012-11-06,NY,general,State Senate
Adriano Espaillat,New York,31,DEM,85162,2012-11-06,NY,general,State Senate
Martin Chicon,New York,31,REP,8190,2012-11-06,NY,general,State Senate
Blank,New York,31,,18031,2012-11-06,NY,general,State Senate
Void,New York,31,,0,2012-11-06,NY,general,State Senate
Scattering,New York,31,,112,2012-11-06,NY,general,State Senate
Total,New York,31,,111495,2012-11-06,NY,general,State Senate
Ruben M. Diaz,Bronx,32,DEM,70788,2012-11-06,NY,general,State Senate
Ruben M. Diaz,Bronx,32,REP,1565,2012-11-06,NY,general,State Senate
Ruben M. Diaz,Bronx,32,CON,597,2012-11-06,NY,general,State Senate
David M. Johnson,Bronx,32,IND,2188,2012-11-06,NY,general,State Senate
Blank,Bronx,32,,11758,2012-11-06,NY,general,State Senate
Void,Bronx,32,,0,2012-11-06,NY,general,State Senate
Scattering,Bronx,32,,18,2012-11-06,NY,general,State Senate
Total,Bronx,32,,86914,2012-11-06,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,DEM,56222,2012-11-06,NY,general,State Senate
Michael E. Walters,Bronx,33,REP,1884,2012-11-06,NY,general,State Senate
Michael E. Walters,Bronx,33,CON,412,2012-11-06,NY,general,State Senate
J. Gustavo Rivera,Bronx,33,WOR,945,2012-11-06,NY,general,State Senate
Blank,Bronx,33,,10017,2012-11-06,NY,general,State Senate
Void,Bronx,33,,0,2012-11-06,NY,general,State Senate
Scattering,Bronx,33,,15,2012-11-06,NY,general,State Senate
Total,Bronx,33,,69495,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,DEM,57772,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,DEM,4396,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Total,34,DEM,62168,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,REP,12701,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,REP,2659,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Total,34,REP,15360,2012-11-06,NY,general,State Senate
Elizabeth Perri,Bronx,34,CON,3460,2012-11-06,NY,general,State Senate
Elizabeth Perri,Westchester,34,CON,480,2012-11-06,NY,general,State Senate
Elizabeth Perri,Total,34,CON,3940,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,WOR,1927,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,WOR,172,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Total,34,WOR,2099,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Bronx,34,IND,642,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Westchester,34,IND,153,2012-11-06,NY,general,State Senate
Jeffrey D. Klein,Total,34,IND,795,2012-11-06,NY,general,State Senate
Carl Lundgren,Bronx,34,GRN,1194,2012-11-06,NY,general,State Senate
Carl Lundgren,Westchester,34,GRN,154,2012-11-06,NY,general,State Senate
Carl Lundgren,Total,34,GRN,1348,2012-11-06,NY,general,State Senate
Blank,Bronx,34,,10061,2012-11-06,NY,general,State Senate
Blank,Westchester,34,,796,2012-11-06,NY,general,State Senate
Blank,Total,34,,10857,2012-11-06,NY,general,State Senate
Void,Bronx,34,,0,2012-11-06,NY,general,State Senate
Void,Westchester,34,,0,2012-11-06,NY,general,State Senate
Void,Total,34,,0,2012-11-06,NY,general,State Senate
Scattering,Bronx,34,,42,2012-11-06,NY,general,State Senate
Scattering,Westchester,34,,2,2012-11-06,NY,general,State Senate
Scattering,Total,34,,44,2012-11-06,NY,general,State Senate
Total,Bronx,34,,87799,2012-11-06,NY,general,State Senate
Total,Westchester,34,,8812,2012-11-06,NY,general,State Senate
Total,Total,34,,96611,2012-11-06,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,DEM,77012,2012-11-06,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,WOR,4044,2012-11-06,NY,general,State Senate
Andrea Stewart-Cousins,Westchester,35,IND,3124,2012-11-06,NY,general,State Senate
Blank,Westchester,35,,30924,2012-11-06,NY,general,State Senate
Void,Westchester,35,,0,2012-11-06,NY,general,State Senate
Scattering,Westchester,35,,386,2012-11-06,NY,general,State Senate
Total,Westchester,35,,115490,2012-11-06,NY,general,State Senate
Ruth H. Thompson,Bronx,36,DEM,67613,2012-11-06,NY,general,State Senate
Ruth H. Thompson,Westchester,36,DEM,19120,2012-11-06,NY,general,State Senate
Ruth H. Thompson,Total,36,DEM,86733,2012-11-06,NY,general,State Senate
Robert L. Diamond,Bronx,36,CON,1404,2012-11-06,NY,general,State Senate
Robert L. Diamond,Westchester,36,CON,616,2012-11-06,NY,general,State Senate
Robert L. Diamond,Total,36,CON,2020,2012-11-06,NY,general,State Senate
