candidate,county,district,party,votes,election_date,state,scope,office
Bridget M. Fleming,Suffolk,1,DEM,47041,2012-11-06,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,REP,61309,2012-11-06,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,CON,10489,2012-11-06,NY,general,State Senate
Bridget M. Fleming,Suffolk,1,WOR,4260,2012-11-06,NY,general,State Senate
Kenneth P. LaValle,Suffolk,1,IND,4208,2012-11-06,NY,general,State Senate
Blank,Suffolk,1,,12762,2012-11-06,NY,general,State Senate
Void,Suffolk,1,,74,2012-11-06,NY,general,State Senate
Scattering,Suffolk,1,,35,2012-11-06,NY,general,State Senate
Total,Suffolk,1,,140178,2012-11-06,NY,general,State Senate
"Errol D. Toulon, Jr.",Suffolk,2,DEM,38482,2012-11-06,NY,general,State Senate
John J. Flanagan,Suffolk,2,REP,64998,2012-11-06,NY,general,State Senate
John J. Flanagan,Suffolk,2,CON,10667,2012-11-06,NY,general,State Senate
John J. Flanagan,Suffolk,2,IND,4339,2012-11-06,NY,general,State Senate
Blank,Suffolk,2,,16185,2012-11-06,NY,general,State Senate
Void,Suffolk,2,,68,2012-11-06,NY,general,State Senate
Scattering,Suffolk,2,,75,2012-11-06,NY,general,State Senate
Total,Suffolk,2,,134814,2012-11-06,NY,general,State Senate
Francis T. Genco,Suffolk,3,DEM,41372,2012-11-06,NY,general,State Senate
Lee M. Zeldin,Suffolk,3,REP,40908,2012-11-06,NY,general,State Senate
Lee M. Zeldin,Suffolk,3,CON,8119,2012-11-06,NY,general,State Senate
Lee M. Zeldin,Suffolk,3,IND,3030,2012-11-06,NY,general,State Senate
Blank,Suffolk,3,,15353,2012-11-06,NY,general,State Senate
Void,Suffolk,3,,45,2012-11-06,NY,general,State Senate
Scattering,Suffolk,3,,42,2012-11-06,NY,general,State Senate
Total,Suffolk,3,,108869,2012-11-06,NY,general,State Senate
Ricardo Montano,Suffolk,4,DEM,45766,2012-11-06,NY,general,State Senate
Philip M. Boyle,Suffolk,4,REP,43859,2012-11-06,NY,general,State Senate
Philip M. Boyle,Suffolk,4,CON,8072,2012-11-06,NY,general,State Senate
Ricardo Montano,Suffolk,4,WOR,3457,2012-11-06,NY,general,State Senate
Philip M. Boyle,Suffolk,4,IND,2584,2012-11-06,NY,general,State Senate
Blank,Suffolk,4,,15079,2012-11-06,NY,general,State Senate
Void,Suffolk,4,,50,2012-11-06,NY,general,State Senate
Scattering,Suffolk,4,,29,2012-11-06,NY,general,State Senate
Total,Suffolk,4,,118896,2012-11-06,NY,general,State Senate
David B. Wright,Nassau,5,DEM,25750,2012-11-06,NY,general,State Senate
David B. Wright,Suffolk,5,DEM,23897,2012-11-06,NY,general,State Senate
David B. Wright,Total,5,DEM,49647,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Nassau,5,REP,32303,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,REP,29821,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Total,5,REP,62124,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Nassau,5,CON,3389,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,CON,4562,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Total,5,CON,7951,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Nassau,5,IND,1301,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,IND,2044,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Total,5,IND,3345,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Nassau,5,TRP,227,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Suffolk,5,TRP,300,2012-11-06,NY,general,State Senate
Carl L. Marcellino,Total,5,TRP,527,2012-11-06,NY,general,State Senate
Blank,Nassau,5,,9767,2012-11-06,NY,general,State Senate
Blank,Suffolk,5,,7621,2012-11-06,NY,general,State Senate
Blank,Total,5,,17388,2012-11-06,NY,general,State Senate
Void,Nassau,5,,64,2012-11-06,NY,general,State Senate
Void,Suffolk,5,,25,2012-11-06,NY,general,State Senate
Void,Total,5,,89,2012-11-06,NY,general,State Senate
Scattering,Nassau,5,,23,2012-11-06,NY,general,State Senate
Scattering,Suffolk,5,,19,2012-11-06,NY,general,State Senate
Scattering,Total,5,,42,2012-11-06,NY,general,State Senate
Total,Nassau,5,,72824,2012-11-06,NY,general,State Senate
Total,Suffolk,5,,68289,2012-11-06,NY,general,State Senate
Total,Total,5,,141113,2012-11-06,NY,general,State Senate
Ryan E. Cronin,Nassau,6,DEM,51355,2012-11-06,NY,general,State Senate
Kemp Hannon,Nassau,6,REP,49998,2012-11-06,NY,general,State Senate
Kemp Hannon,Nassau,6,CON,6526,2012-11-06,NY,general,State Senate
Ryan E. Cronin,Nassau,6,WOR,3027,2012-11-06,NY,general,State Senate
Kemp Hannon,Nassau,6,IND,1987,2012-11-06,NY,general,State Senate
Kemp Hannon,Nassau,6,TRP,332,2012-11-06,NY,general,State Senate
Blank,Nassau,6,,15045,2012-11-06,NY,general,State Senate
Void,Nassau,6,,137,2012-11-06,NY,general,State Senate
Scattering,Nassau,6,,25,2012-11-06,NY,general,State Senate
Total,Nassau,6,,128432,2012-11-06,NY,general,State Senate
Daniel S. Ross,Nassau,7,DEM,51419,2012-11-06,NY,general,State Senate
Jack M. Martins,Nassau,7,REP,49647,2012-11-06,NY,general,State Senate
Jack M. Martins,Nassau,7,CON,5837,2012-11-06,NY,general,State Senate
Daniel S. Ross,Nassau,7,WOR,2568,2012-11-06,NY,general,State Senate
Jack M. Martins,Nassau,7,IND,2173,2012-11-06,NY,general,State Senate
Jack M. Martins,Nassau,7,TRP,382,2012-11-06,NY,general,State Senate
Blank,Nassau,7,,17930,2012-11-06,NY,general,State Senate
Void,Nassau,7,,121,2012-11-06,NY,general,State Senate
Scattering,Nassau,7,,20,2012-11-06,NY,general,State Senate
Total,Nassau,7,,130097,2012-11-06,NY,general,State Senate
Carol A. Gordon,Nassau,8,DEM,35082,2012-11-06,NY,general,State Senate
Carol A. Gordon,Suffolk,8,DEM,12311,2012-11-06,NY,general,State Senate
Carol A. Gordon,Total,8,DEM,47393,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Nassau,8,REP,49110,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Suffolk,8,REP,8538,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Total,8,REP,57648,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Nassau,8,CON,5894,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Suffolk,8,CON,1549,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Total,8,CON,7443,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Nassau,8,IND,2511,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Suffolk,8,IND,636,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Total,8,IND,3147,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Nassau,8,TRP,376,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Suffolk,8,TRP,94,2012-11-06,NY,general,State Senate
"Charles J. Fuschillo, Jr.",Total,8,TRP,470,2012-11-06,NY,general,State Senate
Blank,Nassau,8,,11293,2012-11-06,NY,general,State Senate
